"index","ipa","word"
912,"ʤəmp","jump"
913,"sevd","saved"
914,"stɑrtɪŋ","starting"
915,"noʊz","nose"
916,"haɪd","hide"
917,"ʧərʧ","church"
918,"sən","sun"
919,"pis","peace"
920,"prəfɛsər","professor"
921,"bɑbi","bobby"
922,"ʃɛr","share"
923,"frɛnʧ","french"
924,"stiv","steve"
925,"bʊlʃɪt","bullshit"
926,"muvd","moved"
927,"pɪkt","picked"
928,"pɛrɪs","paris"
929,"hoʊldɪŋ","holding"
930,"bɪli","billy"
931,"juzɪŋ","using"
932,"lɑ","la"
933,"tep","tape"
934,"toʊni","tony"
935,"pɪkʧərz","pictures"
936,"ɪnvɑlvd","involved"
937,"gæs","gas"
938,"bʊks","books"
939,"rileʃənʃɪp","relationship"
940,"niðər","neither"
941,"naɪn","nine"
942,"bɑðər","bother"
943,"wɛðər","whether"
944,"daɪɪŋ","dying"
945,"raʊnd","round"
946,"dərti","dirty"
947,"kæt","cat"
948,"brɛkfəst","breakfast"
949,"ɪdiət","idiot"
950,"spes","space"
951,"lɪvd","lived"
952,"prɪzən","prison"
953,"kɛri","carry"
954,"ʤemz","james"
955,"kraɪ","cry"
956,"pi","p"
957,"smoʊk","smoke"
958,"ɑrm","arm"
959,"fɪlm","film"
960,"gəvərnmənt","government"
961,"tri","tree"
962,"fʊt","foot"
963,"əgri","agree"
964,"pɑrdən","pardon"
965,"gɪft","gift"
966,"gɪvz","gives"
967,"saʊθ","south"
968,"drimz","dreams"
969,"hæt","hat"
970,"bɔrd","board"
971,"sek","sake"
972,"swithɑrt","sweetheart"
973,"sɪriəsli","seriously"
974,"nɔrθ","north"
975,"peʃənt","patient"
976,"ɔfəl","awful"
977,"sæd","sad"
978,"wəndərɪŋ","wondering"
979,"rɑbərt","robert"
980,"bɪgɪnɪŋ","beginning"
981,"grænd","grand"
982,"juʒəwəli","usually"
983,"kɪlər","killer"
984,"daʊt","doubt"
985,"lɪsənɪŋ","listening"
986,"əpɑn","upon"
987,"dəbəl","double"
988,"twaɪs","twice"
989,"huz","whose"
990,"utə","outta"
991,"gɪlti","guilty"
992,"ʤɛri","jerry"
993,"res","race"
994,"kræp","crap"
995,"ʧɪkən","chicken"
996,"bæθrum","bathroom"
997,"æshoʊl","asshole"
998,"spɑt","spot"
999,"rɛdɪŋ","reading"
1000,"ɔrdərz","orders"
1001,"wikɪnd","weekend"
1002,"dɪtɛktɪv","detective"
1003,"ækʃən","action"
1004,"ʃɛrɪf","sheriff"
1005,"itɪŋ","eating"
1006,"glæs","glass"
1007,"taɪp","type"
1008,"wɛst","west"
1009,"waɪn","wine"
1010,"prɛs","press"
1011,"dɪfəkəlt","difficult"
1012,"lɑts","lots"
1013,"braʊn","brown"
1014,"nɪk","nick"
1015,"si","sea"
1016,"ɑrmz","arms"
1017,"flaɪt","flight"
1018,"steɪŋ","staying"
1019,"ərɛst","arrest"
1020,"nɛk","neck"
1021,"groʊ","grow"
1022,"mɛnʃən","mention"
1023,"fevərɪt","favorite"
1024,"slipɪŋ","sleeping"
